motif	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	label
ARCH1005_zf_C2H2_ZBTB12	0.487598056097654	0.0258064516129032	0.0529256654947263	4	2529	0.966401084695507	1	G4
ARCH1005_zf_C2H2_ZBTB12	0.890451934035773	0.0470588235294118	0.0528482467505329	4	2529	0.663300495885565	1	G5
ARCH1005_zf_C2H2_ZBTB12	0.851928027909003	0.0450450450450451	0.0528742376930654	10	2523	0.740734302073795	1	G6
ARCH1005_zf_C2H2_ZBTB12	0.819173396100657	0.0435097897026831	0.0531142611683849	60	2473	0.951954000959412	1	G7
ARCH1005_zf_C2H2_ZBTB12	1.09198084524171	0.0576923076923077	0.0528327103389229	3	2530	0.522963206772985	1	G8
ARCH1005_zf_C2H2_ZBTB12	1.45600923563009	0.0769230769230769	0.0528314484830781	1	2532	0.506285207343086	1	G9
ARCH1006_Homeodomains_SIX1_SIX2_Six2	0.887056419018339	0.0479233226837061	0.0540251123335993	15	2573	0.718228235654769	1	G1
ARCH1006_Homeodomains_SIX1_SIX2_Six2	0.396233766233766	0.0214285714285714	0.0540806293018682	3	2585	0.982931447020165	1	G2
ARCH1006_Homeodomains_SIX1_SIX2_Six2	0.877347320190511	0.0474226804123711	0.0540523454292578	23	2565	0.767507859792733	1	G3
ARCH1006_Homeodomains_SIX1_SIX2_Six2	0.716383898453312	0.0387096774193548	0.0540348233718399	6	2582	0.847958331577112	1	G4
ARCH1006_Homeodomains_SIX1_SIX2_Six2	1.52689564008478	0.0823529411764706	0.053934885276048	7	2581	0.175058894957395	0.827996226145832	G5
ARCH1006_Homeodomains_SIX1_SIX2_Six2	0.833752682084722	0.0450450450450451	0.0540268667351258	10	2578	0.764138981593687	1	G6
ARCH1006_Homeodomains_SIX1_SIX2_Six2	0.73312192045421	0.0398839738941262	0.0544029209621993	55	2533	0.993885688532697	1	G7
ARCH1006_Homeodomains_SIX1_SIX2_Six2	1.42554774946416	0.0769230769230769	0.0539603650259987	4	2584	0.30837320603146	1	G8
ARCH1006_Homeodomains_SIX1_SIX2_Six2	0	0	0.0539999165379961	0	2588	1	1	G9
ARCH1007_SMAD_MH1_Med	1.16263415021162	0.0511182108626198	0.043967580733213	16	2094	0.305583861990639	0.942544090010571	G1
ARCH1007_SMAD_MH1_Med	1.29941552263151	0.0571428571428571	0.0439758153936275	8	2102	0.275706882604596	1	G2
ARCH1007_SMAD_MH1_Med	0.936299511665762	0.0412371134020619	0.0440426518312471	20	2090	0.649077835871423	1	G3
ARCH1007_SMAD_MH1_Med	0.732265726764233	0.032258064516129	0.0440524024778168	5	2105	0.816820544485703	1	G4
ARCH1007_SMAD_MH1_Med	1.6054797584433	0.0705882352941176	0.043967066493919	6	2104	0.171503786049554	0.825894118635793	G5
ARCH1007_SMAD_MH1_Med	1.33249343764365	0.0585585585585586	0.0439466018400151	13	2097	0.18221200186213	0.737241772075468	G6
