sample	motif	gene	gene_expression_fc	motif_enrichment_fc	motif_enrichment_minuslog10_fdr	cor_qv	cor_fc	reporterline	condition	id
JGD1_ElavPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	2.61767681694697	0.242265385621022	0.231035067910358	-0.907664817382834	-0.858804703923391	Elav	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGD3_ElavPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	1.58030907296024	0.242265385621022	0.231035067910358	-0.907664817382834	-0.858804703923391	Elav	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGD5_ElavPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	1.91077365196704	0.242265385621022	0.231035067910358	-0.907664817382834	-0.858804703923391	Elav	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGD7_ElavPos	ARCH1687_zf_C2H2_SCRT1_SCRT2	Nvec_vc1.1_XM_032381270.2	1.8642478697816	0.242265385621022	0.231035067910358	-0.907664817382834	-0.858804703923391	Elav	positive	ARCH1687_zf_C2H2_SCRT1_SCRT2 | Nvec_vc1.1_XM_032381270.2
JGA1_FoxPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	-1.02397662357001	-0.183996780394107	0	-0.311900774279958	-0.20780950735066	Fox	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGA3_FoxPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	-1.26525747783332	-0.183996780394107	0	-0.311900774279958	-0.20780950735066	Fox	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGA5_FoxPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	0.5485677116388	-0.183996780394107	0	-0.311900774279958	-0.20780950735066	Fox	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGA7_FoxPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	-1.5266973962761	-0.183996780394107	0	-0.311900774279958	-0.20780950735066	Fox	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGC1_NcolPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	-0.565859042222212	0.0396970618733398	0.0822535592766508	-0.311900774279958	-0.20780950735066	Ncol	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGC3_NcolPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	-1.39712086145504	0.0396970618733398	0.0822535592766508	-0.311900774279958	-0.20780950735066	Ncol	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGC5_NcolPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	-0.00454091463342011	0.0396970618733398	0.0822535592766508	-0.311900774279958	-0.20780950735066	Ncol	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGC7_NcolPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	-2.52306427419905	0.0396970618733398	0.0822535592766508	-0.311900774279958	-0.20780950735066	Ncol	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGD1_ElavPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	-0.304610838263428	-0.107694559161871	0	-0.311900774279958	-0.20780950735066	Elav	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGD3_ElavPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	-1.16594607069092	-0.107694559161871	0	-0.311900774279958	-0.20780950735066	Elav	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGD5_ElavPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	-0.184110533395085	-0.107694559161871	0	-0.311900774279958	-0.20780950735066	Elav	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGD7_ElavPos	ARCH1142_bZIP_Mafb	Nvec_vc1.1_XM_001628737.3	0.596899998877243	-0.107694559161871	0	-0.311900774279958	-0.20780950735066	Elav	positive	ARCH1142_bZIP_Mafb | Nvec_vc1.1_XM_001628737.3
JGA1_FoxPos	ARCH1610_HLH_Tcf4	Nvec_vc1.1_XM_032375349.2	-1.1295551235103	-0.0265976360238432	0	0.951281203553974	0.883194922242182	Fox	positive	ARCH1610_HLH_Tcf4 | Nvec_vc1.1_XM_032375349.2
JGA3_FoxPos	ARCH1610_HLH_Tcf4	Nvec_vc1.1_XM_032375349.2	-1.40008511663425	-0.0265976360238432	0	0.951281203553974	0.883194922242182	Fox	positive	ARCH1610_HLH_Tcf4 | Nvec_vc1.1_XM_032375349.2
JGA5_FoxPos	ARCH1610_HLH_Tcf4	Nvec_vc1.1_XM_032375349.2	-1.40008511663425	-0.0265976360238432	0	0.951281203553974	0.883194922242182	Fox	positive	ARCH1610_HLH_Tcf4 | Nvec_vc1.1_XM_032375349.2
JGA7_FoxPos	ARCH1610_HLH_Tcf4	Nvec_vc1.1_XM_032375349.2	-1.40008511663425	-0.0265976360238432	0	0.951281203553974	0.883194922242182	Fox	positive	ARCH1610_HLH_Tcf4 | Nvec_vc1.1_XM_032375349.2
JGC1_NcolPos	ARCH1610_HLH_Tcf4	Nvec_vc1.1_XM_032375349.2	3.54668068181278	1.14302066016976	18.6982867533904	0.951281203553974	0.883194922242182	Ncol	positive	ARCH1610_HLH_Tcf4 | Nvec_vc1.1_XM_032375349.2
JGC3_NcolPos	ARCH1610_HLH_Tcf4	Nvec_vc1.1_XM_032375349.2	4.02769689412323	1.14302066016976	18.6982867533904	0.951281203553974	0.883194922242182	Ncol	positive	ARCH1610_HLH_Tcf4 | Nvec_vc1.1_XM_032375349.2
JGC5_NcolPos	ARCH1610_HLH_Tcf4	Nvec_vc1.1_XM_032375349.2	4.08240898595256	1.14302066016976	18.6982867533904	0.951281203553974	0.883194922242182	Ncol	positive	ARCH1610_HLH_Tcf4 | Nvec_vc1.1_XM_032375349.2
