sample	target_gene	regulation	fold_change
Elav_pos	Nvec_vc1.1_XM_032378864.2	up	1.02105750593818
Elav_pos	Nvec_vc1.1_XM_032386272.2	down	-1.02022762939391
Ncol_pos	Nvec_vc1.1_XM_048731535.1	down	-1.0146378982964
Elav_pos	Nvec_vc1.1_XM_048728093.1	down	-1.01410312926327
Ncol_pos	Nvec_vc1.1_XM_001638565.3	down	-1.0031193409554
Elav_pos	Nvec_vc1.1_XM_001637260.3	down	-0.994544104508419
Ncol_pos	Nvec_vc1.1_XM_001637260.3	down	-0.994544104508419
Elav_pos	Nvec_v1g239271	down	-0.993871988195341
Ncol_pos	Nvec_vc1.1_XM_048720580.1	down	-0.992871323798042
Ncol_pos	Nvec_vc1.1_XM_032383003.2	up	0.986554593867806
Ncol_pos	Nvec_vc1.1_XM_048720432.1	up	0.981940245263454
Ncol_pos	Nvec_vc1.1_XM_048731055.1	up	0.979758489296312
Elav_pos	Nvec_vc1.1_XM_001634114.3	down	-0.978842182510315
Elav_pos	Nvec_vc1.1_XM_032367227.2	down	-0.974291537969795
Ncol_pos	Nvec_vc1.1_XM_032367227.2	down	-0.974291537969795
Elav_pos	Nvec_vc1.1_XM_048728490.1	down	-0.972905477580897
Ncol_pos	Nvec_vc1.1_XM_048728490.1	down	-0.972905477580897
Elav_pos	Nvec_vc1.1_XM_032371141.2	down	-0.971073762281821
Ncol_pos	Nvec_v1g112848	up	0.970975142235265
Elav_pos	Nvec_vc1.1_XM_048733658.1	up	0.965031761097101
Ncol_pos	Nvec_vc1.1_XM_032373207.2	up	0.963386430835775
Elav_pos	Nvec_vc1.1_XM_048732663.1	up	0.956608941808088
Elav_pos	Nvec_vc1.1_XM_048732663.1	up	0.956608941808088
Ncol_pos	Nvec_vc1.1_XM_032382923.2	down	-0.956214330060478
Elav_pos	Nvec_vc1.1_XM_032386408.2	up	0.955678720844263
Ncol_pos	Nvec_vc1.1_XM_032386408.2	up	0.955678720844263
Elav_pos	Nvec_NVE776	down	-0.942460385870124
Ncol_pos	Nvec_vc1.1_XM_048722375.1	up	0.938716691659923
Ncol_pos	Nvec_vc1.1_XM_048722356.1	up	0.938716691659923
Ncol_pos	Nvec_vc1.1_XM_048722356.1	up	0.938716691659923
Elav_pos	Nvec_vc1.1_XM_032376323.2	down	-0.937957542061388
Elav_pos	Nvec_vc1.1_XM_048733757.1	down	-0.934412699066879
Elav_pos	Nvec_vc1.1_XM_001630340.3	up	0.926383633485194
Ncol_pos	Nvec_vc1.1_XM_048730886.1	down	-0.918257466349553
Elav_pos	Nvec_vc1.1_XM_032375468.2	down	-0.915864334263641
Ncol_pos	Nvec_vc1.1_XM_032376953.2	up	0.914844009894294
Ncol_pos	Nvec_vc1.1_XM_001631405.3	up	0.914651516208504
Ncol_pos	Nvec_vc1.1_XM_001631405.3	up	0.914651516208504
Elav_pos	Nvec_vc1.1_XM_032361876.2	down	-0.914296778168474
Ncol_pos	Nvec_vc1.1_XM_001630864.3	up	0.908027446149631
Elav_pos	Nvec_vc1.1_XM_032366877.2	down	-0.901361893572872
Elav_pos	Nvec_vc1.1_XM_001623360.3	down	-0.90134389626226
Ncol_pos	Nvec_vc1.1_XM_001623360.3	down	-0.90134389626226
Elav_pos	Nvec_vc1.1_XM_048731133.1	down	-0.892834638004748
Elav_pos	Nvec_NVE21804	down	-0.884531336712524
Elav_pos	Nvec_vc1.1_XM_032366593.2	down	-0.883578552175861
Elav_pos	Nvec_vc1.1_XM_001629547.3	up	0.883081583657725
Elav_pos	Nvec_vc1.1_XM_001629547.3	up	0.883081583657725
Elav_pos	Nvec_vc1.1_XM_032377132.2	down	-0.871071262468876
Elav_pos	Nvec_vc1.1_XM_032373190.2	down	-0.870651617364705
Ncol_pos	Nvec_vc1.1_XM_032373190.2	down	-0.870651617364705
Ncol_pos	Nvec_NVE25590	down	-0.866204361604
Elav_pos	Nvec_vc1.1_XM_048730604.1	up	0.865665638705845
Elav_pos	Nvec_vc1.1_XM_048726737.1	down	-0.865279483008692
Elav_pos	Nvec_vc1.1_XM_032363337.2	down	-0.855039595380281
Ncol_pos	Nvec_vc1.1_XM_032383470.2	down	-0.852658340905727
Elav_pos	Nvec_vc1.1_XM_001622296.3	down	-0.851430553507973
Ncol_pos	Nvec_vc1.1_XM_032385572.2	up	0.839928089704181
Elav_pos	Nvec_vc1.1_XM_032378511.2	down	-0.838599819632793
Elav_pos	Nvec_vc1.1_XM_001632402.3	down	-0.835167018564462
Elav_pos	Nvec_v1g238275	up	0.815871216083406
Elav_pos	Nvec_vc1.1_XM_032376986.2	down	-0.814985423567512
